User ID,N_Touchpoints,Channel_Sequence,First_Touch_Channel,First_Touch_Campaign,Last_Touch_Channel,Last_Touch_Campaign,Converted,All_Campaigns
10028,2,Search Ads -> Display Ads,Search Ads,Discount Offer,Display Ads,-,TRUE,"-, Discount Offer"
10045,2,Search Ads -> Display Ads,Search Ads,Discount Offer,Display Ads,New Product Launch,TRUE,"New Product Launch, Discount Offer"
10062,3,Social Media -> Direct Traffic -> Email,Social Media,Brand Awareness,Email,Brand Awareness,TRUE,"-, Brand Awareness"
10068,5,Search Ads -> Social Media -> Social Media -> Search Ads -> Social Media,Search Ads,-,Social Media,Winter Sale,TRUE,"New Product Launch, Retargeting, Brand Awareness, -, Winter Sale"
10095,6,Display Ads -> Email -> Referral -> Display Ads -> Search Ads -> Referral,Display Ads,Retargeting,Referral,-,TRUE,"New Product Launch, -, Retargeting"
10120,5,Referral -> Email -> Referral -> Direct Traffic -> Direct Traffic,Referral,Winter Sale,Direct Traffic,-,TRUE,"Winter Sale, New Product Launch, -"
10167,3,Social Media -> Display Ads -> Display Ads,Social Media,Retargeting,Display Ads,Brand Awareness,TRUE,"Brand Awareness, Retargeting"
10172,2,Email -> Referral,Email,Brand Awareness,Referral,Winter Sale,TRUE,"Winter Sale, Brand Awareness"
10202,5,Display Ads -> Direct Traffic -> Display Ads -> Social Media -> Search Ads,Display Ads,New Product Launch,Search Ads,New Product Launch,TRUE,"New Product Launch, -, Retargeting"
10255,4,Social Media -> Referral -> Direct Traffic -> Social Media,Social Media,New Product Launch,Social Media,New Product Launch,TRUE,"Winter Sale, New Product Launch, -"
10271,1,Social Media,Social Media,Discount Offer,Social Media,Discount Offer,TRUE,Discount Offer
10273,1,Social Media,Social Media,Brand Awareness,Social Media,Brand Awareness,TRUE,Brand Awareness
10303,2,Direct Traffic -> Referral,Direct Traffic,-,Referral,Discount Offer,TRUE,"-, Discount Offer"
10306,2,Social Media -> Search Ads,Social Media,Discount Offer,Search Ads,Discount Offer,TRUE,Discount Offer
10317,7,Email -> Direct Traffic -> Social Media -> Referral -> Social Media -> Search Ads -> Display Ads,Email,Discount Offer,Display Ads,Brand Awareness,TRUE,"New Product Launch, -, Brand Awareness, Discount Offer"
10341,3,Display Ads -> Display Ads -> Email,Display Ads,Winter Sale,Email,Winter Sale,TRUE,"Winter Sale, -"
10374,3,Email -> Search Ads -> Direct Traffic,Email,New Product Launch,Direct Traffic,-,TRUE,"New Product Launch, -"
10378,3,Search Ads -> Social Media -> Referral,Search Ads,-,Referral,Brand Awareness,TRUE,"-, Brand Awareness, Discount Offer"
10414,2,Referral -> Social Media,Referral,Brand Awareness,Social Media,Brand Awareness,FALSE,Brand Awareness
10415,4,Social Media -> Direct Traffic -> Email -> Email,Social Media,-,Email,Discount Offer,TRUE,"New Product Launch, -, Discount Offer"
10426,2,Referral -> Direct Traffic,Referral,Winter Sale,Direct Traffic,-,TRUE,"Winter Sale, -"
10442,6,Direct Traffic -> Search Ads -> Search Ads -> Social Media -> Email -> Social Media,Direct Traffic,-,Social Media,New Product Launch,TRUE,"Winter Sale, New Product Launch, -"
