User ID,Timestamp,Channel,Campaign,Conversion,Is_Conversion,User_Converted,N_Touchpoints,Touchpoint_Rank,Touchpoint_Rank_Reverse,Is_First_Touch,Is_Last_Touch,Linear_Weight
10028,2025-02-10 01:44:12,Search Ads,Discount Offer,Yes,1,True,2,1,2,1,0,0.5
10028,2025-02-11 01:03:57,Display Ads,-,Yes,1,True,2,2,1,0,1,0.5
10045,2025-02-10 17:20:43,Search Ads,Discount Offer,No,0,True,2,1,2,1,0,0.5
10045,2025-02-11 18:44:15,Display Ads,New Product Launch,Yes,1,True,2,2,1,0,1,0.5
10062,2025-02-10 15:42:42,Social Media,Brand Awareness,No,0,True,3,1,3,1,0,0.3333333333333333
10062,2025-02-10 22:00:18,Direct Traffic,-,No,0,True,3,2,2,0,0,0.3333333333333333
10062,2025-02-11 21:10:27,Email,Brand Awareness,Yes,1,True,3,3,1,0,1,0.3333333333333333
10068,2025-02-10 07:07:39,Search Ads,-,Yes,1,True,5,1,5,1,0,0.2
10068,2025-02-11 08:05:04,Social Media,Retargeting,No,0,True,5,2,4,0,0,0.2
10068,2025-02-11 10:14:02,Social Media,Brand Awareness,Yes,1,True,5,3,3,0,0,0.2
10068,2025-02-11 11:39:02,Search Ads,New Product Launch,Yes,1,True,5,4,2,0,0,0.2
10068,2025-02-11 23:05:58,Social Media,Winter Sale,No,0,True,5,5,1,0,1,0.2
10095,2025-02-10 07:07:27,Display Ads,Retargeting,Yes,1,True,6,1,6,1,0,0.16666666666666666
10095,2025-02-10 21:59:46,Email,Retargeting,Yes,1,True,6,2,5,0,0,0.16666666666666666
10095,2025-02-11 01:37:25,Referral,New Product Launch,Yes,1,True,6,3,4,0,0,0.16666666666666666
10095,2025-02-11 08:09:00,Display Ads,-,No,0,True,6,4,3,0,0,0.16666666666666666
10095,2025-02-11 18:45:58,Search Ads,Retargeting,Yes,1,True,6,5,2,0,0,0.16666666666666666
10095,2025-02-11 23:24:48,Referral,-,Yes,1,True,6,6,1,0,1,0.16666666666666666
10120,2025-02-10 09:11:15,Referral,Winter Sale,No,0,True,5,1,5,1,0,0.2
10120,2025-02-10 16:31:20,Email,Winter Sale,Yes,1,True,5,2,4,0,0,0.2
10120,2025-02-11 04:33:28,Referral,New Product Launch,No,0,True,5,3,3,0,0,0.2
10120,2025-02-11 10:21:03,Direct Traffic,-,No,0,True,5,4,2,0,0,0.2
10120,2025-02-11 13:11:00,Direct Traffic,-,Yes,1,True,5,5,1,0,1,0.2
10167,2025-02-10 03:16:22,Social Media,Retargeting,No,0,True,3,1,3,1,0,0.3333333333333333
10167,2025-02-10 14:59:06,Display Ads,Brand Awareness,No,0,True,3,2,2,0,0,0.3333333333333333
10167,2025-02-11 22:03:25,Display Ads,Brand Awareness,Yes,1,True,3,3,1,0,1,0.3333333333333333
10172,2025-02-10 21:07:20,Email,Brand Awareness,No,0,True,2,1,2,1,0,0.5
10172,2025-02-11 18:20:42,Referral,Winter Sale,Yes,1,True,2,2,1,0,1,0.5
10202,2025-02-10 03:02:26,Display Ads,New Product Launch,No,0,True,5,1,5,1,0,0.2
10202,2025-02-10 09:47:32,Direct Traffic,-,Yes,1,True,5,2,4,0,0,0.2
10202,2025-02-10 10:05:57,Display Ads,New Product Launch,Yes,1,True,5,3,3,0,0,0.2
10202,2025-02-10 13:33:07,Social Media,Retargeting,Yes,1,True,5,4,2,0,0,0.2
10202,2025-02-11 21:53:40,Search Ads,New Product Launch,Yes,1,True,5,5,1,0,1,0.2
10255,2025-02-10 01:10:54,Social Media,New Product Launch,No,0,True,4,1,4,1,0,0.25
10255,2025-02-10 05:49:14,Referral,Winter Sale,No,0,True,4,2,3,0,0,0.25
10255,2025-02-10 22:47:49,Direct Traffic,-,Yes,1,True,4,3,2,0,0,0.25
10255,2025-02-11 02:38:51,Social Media,New Product Launch,Yes,1,True,4,4,1,0,1,0.25
10271,2025-02-10 02:48:29,Social Media,Discount Offer,Yes,1,True,1,1,1,1,1,1.0
10273,2025-02-10 17:33:44,Social Media,Brand Awareness,Yes,1,True,1,1,1,1,1,1.0
10303,2025-02-10 06:08:23,Direct Traffic,-,No,0,True,2,1,2,1,0,0.5
10303,2025-02-10 09:14:15,Referral,Discount Offer,Yes,1,True,2,2,1,0,1,0.5
10306,2025-02-10 11:52:10,Social Media,Discount Offer,Yes,1,True,2,1,2,1,0,0.5
10306,2025-02-10 14:47:38,Search Ads,Discount Offer,Yes,1,True,2,2,1,0,1,0.5
10317,2025-02-10 01:16:41,Email,Discount Offer,No,0,True,7,1,7,1,0,0.14285714285714285
10317,2025-02-10 04:33:40,Direct Traffic,-,No,0,True,7,2,6,0,0,0.14285714285714285
10317,2025-02-10 08:17:38,Social Media,-,Yes,1,True,7,3,5,0,0,0.14285714285714285
10317,2025-02-10 09:29:31,Referral,Brand Awareness,Yes,1,True,7,4,4,0,0,0.14285714285714285
10317,2025-02-11 01:39:29,Social Media,Discount Offer,No,0,True,7,5,3,0,0,0.14285714285714285
10317,2025-02-11 09:14:56,Search Ads,New Product Launch,No,0,True,7,6,2,0,0,0.14285714285714285
10317,2025-02-11 16:55:59,Display Ads,Brand Awareness,Yes,1,True,7,7,1,0,1,0.14285714285714285
10341,2025-02-10 18:53:12,Display Ads,Winter Sale,No,0,True,3,1,3,1,0,0.3333333333333333
10341,2025-02-10 21:08:00,Display Ads,-,Yes,1,True,3,2,2,0,0,0.3333333333333333
10341,2025-02-11 21:07:37,Email,Winter Sale,Yes,1,True,3,3,1,0,1,0.3333333333333333
10374,2025-02-10 12:42:37,Email,New Product Launch,Yes,1,True,3,1,3,1,0,0.3333333333333333
10374,2025-02-11 12:58:04,Search Ads,New Product Launch,No,0,True,3,2,2,0,0,0.3333333333333333
10374,2025-02-11 20:39:59,Direct Traffic,-,No,0,True,3,3,1,0,1,0.3333333333333333
10378,2025-02-10 04:44:53,Search Ads,-,Yes,1,True,3,1,3,1,0,0.3333333333333333
10378,2025-02-11 05:56:27,Social Media,Discount Offer,Yes,1,True,3,2,2,0,0,0.3333333333333333
10378,2025-02-11 21:26:36,Referral,Brand Awareness,Yes,1,True,3,3,1,0,1,0.3333333333333333
10414,2025-02-11 06:40:19,Referral,Brand Awareness,No,0,False,2,1,2,1,0,0.5
10414,2025-02-11 09:07:12,Social Media,Brand Awareness,No,0,False,2,2,1,0,1,0.5
10415,2025-02-10 02:46:42,Social Media,-,Yes,1,True,4,1,4,1,0,0.25
10415,2025-02-10 22:16:20,Direct Traffic,-,Yes,1,True,4,2,3,0,0,0.25
10415,2025-02-11 03:42:40,Email,New Product Launch,No,0,True,4,3,2,0,0,0.25
10415,2025-02-11 09:28:54,Email,Discount Offer,Yes,1,True,4,4,1,0,1,0.25
10426,2025-02-10 04:18:01,Referral,Winter Sale,Yes,1,True,2,1,2,1,0,0.5
10426,2025-02-11 12:48:22,Direct Traffic,-,Yes,1,True,2,2,1,0,1,0.5
10442,2025-02-10 05:15:54,Direct Traffic,-,Yes,1,True,6,1,6,1,0,0.16666666666666666
10442,2025-02-10 19:54:14,Search Ads,Winter Sale,Yes,1,True,6,2,5,0,0,0.16666666666666666
10442,2025-02-11 00:26:14,Search Ads,New Product Launch,No,0,True,6,3,4,0,0,0.16666666666666666
10442,2025-02-11 11:06:22,Social Media,Winter Sale,No,0,True,6,4,3,0,0,0.16666666666666666
10442,2025-02-11 20:30:32,Email,-,Yes,1,True,6,5,2,0,0,0.16666666666666666
10442,2025-02-11 20:42:25,Social Media,New Product Launch,Yes,1,True,6,6,1,0,1,0.16666666666666666
10466,2025-02-10 00:48:02,Display Ads,New Product Launch,No,0,True,3,1,3,1,0,0.3333333333333333
10466,2025-02-10 04:03:49,Social Media,-,No,0,True,3,2,2,0,0,0.3333333333333333
10466,2025-02-11 23:16:09,Direct Traffic,-,Yes,1,True,3,3,1,0,1,0.3333333333333333
10518,2025-02-10 03:46:35,Social Media,Winter Sale,No,0,True,4,1,4,1,0,0.25
10518,2025-02-10 18:33:25,Social Media,Winter Sale,No,0,True,4,2,3,0,0,0.25
10518,2025-02-10 19:04:22,Referral,New Product Launch,Yes,1,True,4,3,2,0,0,0.25
10518,2025-02-11 12:17:20,Referral,-,Yes,1,True,4,4,1,0,1,0.25
10556,2025-02-10 03:02:41,Referral,-,No,0,True,4,1,4,1,0,0.25
10556,2025-02-10 16:42:22,Direct Traffic,-,No,0,True,4,2,3,0,0,0.25
10556,2025-02-10 20:13:06,Display Ads,New Product Launch,Yes,1,True,4,3,2,0,0,0.25
10556,2025-02-11 15:07:03,Direct Traffic,-,No,0,True,4,4,1,0,1,0.25
10566,2025-02-10 09:32:33,Direct Traffic,-,Yes,1,True,1,1,1,1,1,1.0
10614,2025-02-11 15:09:04,Search Ads,Winter Sale,No,0,False,2,1,2,1,0,0.5
10614,2025-02-11 23:44:28,Social Media,Brand Awareness,No,0,False,2,2,1,0,1,0.5
10654,2025-02-10 00:46:47,Referral,Winter Sale,No,0,True,10,1,10,1,0,0.1
10654,2025-02-10 02:38:51,Search Ads,-,No,0,True,10,2,9,0,0,0.1
10654,2025-02-10 03:50:37,Search Ads,Winter Sale,No,0,True,10,3,8,0,0,0.1
10654,2025-02-10 08:53:24,Email,-,Yes,1,True,10,4,7,0,0,0.1
10654,2025-02-11 03:32:31,Display Ads,-,Yes,1,True,10,5,6,0,0,0.1
10654,2025-02-11 04:44:49,Search Ads,New Product Launch,No,0,True,10,6,5,0,0,0.1
10654,2025-02-11 09:46:28,Direct Traffic,-,Yes,1,True,10,7,4,0,0,0.1
10654,2025-02-11 17:14:00,Email,Retargeting,Yes,1,True,10,8,3,0,0,0.1
10654,2025-02-11 19:49:54,Display Ads,Discount Offer,Yes,1,True,10,9,2,0,0,0.1
10654,2025-02-11 22:26:45,Social Media,New Product Launch,No,0,True,10,10,1,0,1,0.1
10665,2025-02-10 03:47:31,Referral,Winter Sale,Yes,1,True,2,1,2,1,0,0.5
10665,2025-02-11 20:27:41,Referral,Retargeting,Yes,1,True,2,2,1,0,1,0.5
10668,2025-02-10 16:40:19,Direct Traffic,-,No,0,True,7,1,7,1,0,0.14285714285714285
10668,2025-02-10 18:19:25,Direct Traffic,-,Yes,1,True,7,2,6,0,0,0.14285714285714285
10668,2025-02-10 21:26:54,Direct Traffic,-,No,0,True,7,3,5,0,0,0.14285714285714285
10668,2025-02-11 07:39:45,Referral,Retargeting,Yes,1,True,7,4,4,0,0,0.14285714285714285
10668,2025-02-11 13:34:11,Search Ads,New Product Launch,Yes,1,True,7,5,3,0,0,0.14285714285714285
10668,2025-02-11 14:54:39,Direct Traffic,-,No,0,True,7,6,2,0,0,0.14285714285714285
10668,2025-02-11 23:44:14,Display Ads,Brand Awareness,No,0,True,7,7,1,0,1,0.14285714285714285
10673,2025-02-10 02:33:37,Display Ads,Retargeting,Yes,1,True,4,1,4,1,0,0.25
10673,2025-02-11 04:08:41,Direct Traffic,-,Yes,1,True,4,2,3,0,0,0.25
10673,2025-02-11 05:18:03,Referral,-,No,0,True,4,3,2,0,0,0.25
10673,2025-02-11 12:48:55,Referral,New Product Launch,Yes,1,True,4,4,1,0,1,0.25
10685,2025-02-10 01:43:44,Display Ads,Brand Awareness,Yes,1,True,6,1,6,1,0,0.16666666666666666
10685,2025-02-10 07:03:55,Referral,Brand Awareness,No,0,True,6,2,5,0,0,0.16666666666666666
10685,2025-02-10 22:21:01,Search Ads,New Product Launch,Yes,1,True,6,3,4,0,0,0.16666666666666666
10685,2025-02-11 01:30:05,Email,-,Yes,1,True,6,4,3,0,0,0.16666666666666666
10685,2025-02-11 06:18:13,Email,Discount Offer,Yes,1,True,6,5,2,0,0,0.16666666666666666
10685,2025-02-11 10:08:31,Display Ads,-,No,0,True,6,6,1,0,1,0.16666666666666666
10690,2025-02-10 02:17:10,Display Ads,-,Yes,1,True,5,1,5,1,0,0.2
10690,2025-02-10 07:40:34,Display Ads,Discount Offer,Yes,1,True,5,2,4,0,0,0.2
10690,2025-02-10 08:32:38,Display Ads,-,No,0,True,5,3,3,0,0,0.2
10690,2025-02-10 19:03:13,Email,Discount Offer,Yes,1,True,5,4,2,0,0,0.2
10690,2025-02-11 04:20:14,Search Ads,New Product Launch,No,0,True,5,5,1,0,1,0.2
10698,2025-02-10 02:15:56,Referral,New Product Launch,No,0,False,3,1,3,1,0,0.3333333333333333
10698,2025-02-10 08:31:40,Search Ads,Retargeting,No,0,False,3,2,2,0,0,0.3333333333333333
10698,2025-02-11 03:23:43,Display Ads,Brand Awareness,No,0,False,3,3,1,0,1,0.3333333333333333
10766,2025-02-10 15:17:42,Social Media,Brand Awareness,Yes,1,True,1,1,1,1,1,1.0
10781,2025-02-10 15:32:49,Display Ads,Winter Sale,No,0,False,2,1,2,1,0,0.5
10781,2025-02-11 19:41:16,Direct Traffic,-,No,0,False,2,2,1,0,1,0.5
10843,2025-02-11 05:15:46,Email,Winter Sale,Yes,1,True,2,1,2,1,0,0.5
10843,2025-02-11 09:02:32,Referral,Brand Awareness,No,0,True,2,2,1,0,1,0.5
10919,2025-02-10 00:51:13,Direct Traffic,-,No,0,False,2,1,2,1,0,0.5
10919,2025-02-10 14:14:04,Referral,Brand Awareness,No,0,False,2,2,1,0,1,0.5
10925,2025-02-10 03:51:38,Email,Brand Awareness,Yes,1,True,6,1,6,1,0,0.16666666666666666
10925,2025-02-10 08:24:46,Search Ads,Discount Offer,No,0,True,6,2,5,0,0,0.16666666666666666
10925,2025-02-11 10:45:43,Display Ads,Retargeting,No,0,True,6,3,4,0,0,0.16666666666666666
10925,2025-02-11 15:42:44,Referral,Winter Sale,No,0,True,6,4,3,0,0,0.16666666666666666
10925,2025-02-11 17:18:38,Referral,-,Yes,1,True,6,5,2,0,0,0.16666666666666666
10925,2025-02-11 17:49:56,Search Ads,-,Yes,1,True,6,6,1,0,1,0.16666666666666666
11007,2025-02-11 22:53:37,Referral,Retargeting,No,0,False,1,1,1,1,1,1.0
11058,2025-02-11 12:21:17,Search Ads,Brand Awareness,No,0,True,3,1,3,1,0,0.3333333333333333
11058,2025-02-11 16:27:33,Email,Winter Sale,No,0,True,3,2,2,0,0,0.3333333333333333
11058,2025-02-11 22:50:54,Referral,Brand Awareness,Yes,1,True,3,3,1,0,1,0.3333333333333333
11107,2025-02-10 17:44:11,Referral,-,No,0,True,2,1,2,1,0,0.5
11107,2025-02-10 23:07:49,Social Media,Brand Awareness,Yes,1,True,2,2,1,0,1,0.5
11177,2025-02-10 00:03:01,Display Ads,New Product Launch,No,0,True,3,1,3,1,0,0.3333333333333333
11177,2025-02-10 10:57:40,Search Ads,-,Yes,1,True,3,2,2,0,0,0.3333333333333333
11177,2025-02-11 13:25:23,Search Ads,New Product Launch,No,0,True,3,3,1,0,1,0.3333333333333333
11186,2025-02-10 02:52:01,Social Media,Winter Sale,Yes,1,True,2,1,2,1,0,0.5
11186,2025-02-11 15:47:44,Social Media,Discount Offer,Yes,1,True,2,2,1,0,1,0.5
11209,2025-02-10 22:14:31,Email,Winter Sale,No,0,False,3,1,3,1,0,0.3333333333333333
11209,2025-02-10 22:18:23,Direct Traffic,-,No,0,False,3,2,2,0,0,0.3333333333333333
11209,2025-02-10 23:08:34,Direct Traffic,-,No,0,False,3,3,1,0,1,0.3333333333333333
11233,2025-02-10 07:59:45,Email,Discount Offer,Yes,1,True,4,1,4,1,0,0.25
11233,2025-02-11 08:04:35,Referral,Brand Awareness,No,0,True,4,2,3,0,0,0.25
11233,2025-02-11 10:16:36,Referral,New Product Launch,No,0,True,4,3,2,0,0,0.25
11233,2025-02-11 11:11:55,Email,Winter Sale,Yes,1,True,4,4,1,0,1,0.25
11257,2025-02-10 13:08:16,Email,Brand Awareness,No,0,True,4,1,4,1,0,0.25
11257,2025-02-10 20:20:56,Display Ads,Retargeting,Yes,1,True,4,2,3,0,0,0.25
11257,2025-02-10 20:24:51,Social Media,Brand Awareness,Yes,1,True,4,3,2,0,0,0.25
11257,2025-02-10 22:01:51,Email,-,Yes,1,True,4,4,1,0,1,0.25
11284,2025-02-10 01:04:47,Display Ads,Retargeting,No,0,False,4,1,4,1,0,0.25
11284,2025-02-10 04:46:50,Social Media,New Product Launch,No,0,False,4,2,3,0,0,0.25
11284,2025-02-10 22:04:45,Email,Discount Offer,No,0,False,4,3,2,0,0,0.25
11284,2025-02-11 08:40:50,Social Media,-,No,0,False,4,4,1,0,1,0.25
11295,2025-02-10 05:48:22,Social Media,Brand Awareness,Yes,1,True,5,1,5,1,0,0.2
11295,2025-02-10 05:52:58,Social Media,Discount Offer,Yes,1,True,5,2,4,0,0,0.2
11295,2025-02-10 16:46:14,Social Media,Discount Offer,No,0,True,5,3,3,0,0,0.2
11295,2025-02-10 23:25:57,Referral,Brand Awareness,Yes,1,True,5,4,2,0,0,0.2
11295,2025-02-11 15:05:31,Referral,-,Yes,1,True,5,5,1,0,1,0.2
11365,2025-02-10 11:21:30,Referral,Winter Sale,No,0,True,2,1,2,1,0,0.5
11365,2025-02-11 06:36:01,Display Ads,Retargeting,Yes,1,True,2,2,1,0,1,0.5
11396,2025-02-11 13:32:31,Social Media,Brand Awareness,Yes,1,True,1,1,1,1,1,1.0
11416,2025-02-10 07:28:53,Referral,Discount Offer,No,0,True,7,1,7,1,0,0.14285714285714285
11416,2025-02-10 13:02:14,Social Media,Brand Awareness,No,0,True,7,2,6,0,0,0.14285714285714285
11416,2025-02-10 19:35:18,Direct Traffic,-,No,0,True,7,3,5,0,0,0.14285714285714285
11416,2025-02-10 22:26:31,Direct Traffic,-,Yes,1,True,7,4,4,0,0,0.14285714285714285
11416,2025-02-11 01:40:45,Display Ads,Discount Offer,Yes,1,True,7,5,3,0,0,0.14285714285714285
11416,2025-02-11 08:33:05,Referral,Brand Awareness,Yes,1,True,7,6,2,0,0,0.14285714285714285
11416,2025-02-11 14:49:10,Email,Winter Sale,Yes,1,True,7,7,1,0,1,0.14285714285714285
11453,2025-02-10 13:36:37,Referral,Winter Sale,No,0,True,5,1,5,1,0,0.2
11453,2025-02-11 03:48:22,Display Ads,New Product Launch,No,0,True,5,2,4,0,0,0.2
11453,2025-02-11 10:59:19,Email,New Product Launch,No,0,True,5,3,3,0,0,0.2
11453,2025-02-11 14:54:16,Referral,Winter Sale,No,0,True,5,4,2,0,0,0.2
11453,2025-02-11 23:35:12,Search Ads,Winter Sale,Yes,1,True,5,5,1,0,1,0.2
11503,2025-02-10 01:13:04,Email,New Product Launch,Yes,1,True,4,1,4,1,0,0.25
11503,2025-02-10 14:32:44,Search Ads,Winter Sale,No,0,True,4,2,3,0,0,0.25
11503,2025-02-11 06:05:15,Direct Traffic,-,No,0,True,4,3,2,0,0,0.25
11503,2025-02-11 23:23:30,Social Media,Winter Sale,No,0,True,4,4,1,0,1,0.25
11511,2025-02-10 11:16:24,Referral,-,Yes,1,True,5,1,5,1,0,0.2
11511,2025-02-10 14:46:31,Display Ads,-,No,0,True,5,2,4,0,0,0.2
11511,2025-02-10 20:30:01,Email,Discount Offer,No,0,True,5,3,3,0,0,0.2
11511,2025-02-11 07:34:12,Referral,-,No,0,True,5,4,2,0,0,0.2
11511,2025-02-11 16:15:46,Display Ads,Retargeting,Yes,1,True,5,5,1,0,1,0.2
11611,2025-02-10 03:38:44,Referral,-,No,0,True,4,1,4,1,0,0.25
11611,2025-02-10 20:42:48,Direct Traffic,-,Yes,1,True,4,2,3,0,0,0.25
11611,2025-02-10 22:09:08,Referral,Brand Awareness,Yes,1,True,4,3,2,0,0,0.25
11611,2025-02-11 08:35:07,Direct Traffic,-,No,0,True,4,4,1,0,1,0.25
11661,2025-02-10 02:17:23,Search Ads,Retargeting,Yes,1,True,6,1,6,1,0,0.16666666666666666
11661,2025-02-10 21:12:22,Display Ads,Brand Awareness,Yes,1,True,6,2,5,0,0,0.16666666666666666
11661,2025-02-11 02:38:58,Direct Traffic,-,No,0,True,6,3,4,0,0,0.16666666666666666
11661,2025-02-11 09:33:42,Search Ads,New Product Launch,No,0,True,6,4,3,0,0,0.16666666666666666
11661,2025-02-11 12:43:39,Social Media,Winter Sale,No,0,True,6,5,2,0,0,0.16666666666666666
11661,2025-02-11 22:42:16,Display Ads,Brand Awareness,Yes,1,True,6,6,1,0,1,0.16666666666666666
11686,2025-02-10 02:12:41,Email,Winter Sale,No,0,True,6,1,6,1,0,0.16666666666666666
11686,2025-02-10 12:59:29,Direct Traffic,-,Yes,1,True,6,2,5,0,0,0.16666666666666666
11686,2025-02-10 14:22:56,Social Media,Winter Sale,No,0,True,6,3,4,0,0,0.16666666666666666
11686,2025-02-11 02:38:20,Display Ads,Discount Offer,No,0,True,6,4,3,0,0,0.16666666666666666
11686,2025-02-11 21:41:43,Search Ads,Retargeting,Yes,1,True,6,5,2,0,0,0.16666666666666666
11686,2025-02-11 22:31:30,Referral,Brand Awareness,Yes,1,True,6,6,1,0,1,0.16666666666666666
11741,2025-02-10 00:47:29,Referral,Brand Awareness,No,0,True,4,1,4,1,0,0.25
11741,2025-02-10 07:51:33,Display Ads,Retargeting,Yes,1,True,4,2,3,0,0,0.25
11741,2025-02-10 23:08:27,Display Ads,Discount Offer,Yes,1,True,4,3,2,0,0,0.25
11741,2025-02-11 12:51:55,Referral,Discount Offer,No,0,True,4,4,1,0,1,0.25
11780,2025-02-10 09:12:43,Email,New Product Launch,Yes,1,True,6,1,6,1,0,0.16666666666666666
11780,2025-02-10 15:07:44,Display Ads,Brand Awareness,No,0,True,6,2,5,0,0,0.16666666666666666
11780,2025-02-10 17:29:48,Referral,-,No,0,True,6,3,4,0,0,0.16666666666666666
11780,2025-02-10 21:53:07,Display Ads,Winter Sale,No,0,True,6,4,3,0,0,0.16666666666666666
11780,2025-02-11 13:49:28,Email,Winter Sale,Yes,1,True,6,5,2,0,0,0.16666666666666666
11780,2025-02-11 22:22:33,Direct Traffic,-,No,0,True,6,6,1,0,1,0.16666666666666666
11784,2025-02-10 20:17:25,Display Ads,New Product Launch,Yes,1,True,5,1,5,1,0,0.2
11784,2025-02-11 01:00:07,Search Ads,New Product Launch,No,0,True,5,2,4,0,0,0.2
11784,2025-02-11 04:30:58,Search Ads,-,No,0,True,5,3,3,0,0,0.2
11784,2025-02-11 05:52:42,Referral,-,No,0,True,5,4,2,0,0,0.2
11784,2025-02-11 18:13:20,Social Media,Winter Sale,No,0,True,5,5,1,0,1,0.2
11790,2025-02-10 03:44:22,Referral,-,Yes,1,True,5,1,5,1,0,0.2
11790,2025-02-10 14:29:18,Search Ads,Retargeting,No,0,True,5,2,4,0,0,0.2
11790,2025-02-10 23:43:39,Social Media,Discount Offer,Yes,1,True,5,3,3,0,0,0.2
11790,2025-02-11 17:00:35,Referral,Brand Awareness,No,0,True,5,4,2,0,0,0.2
11790,2025-02-11 23:32:33,Email,-,Yes,1,True,5,5,1,0,1,0.2
11798,2025-02-10 04:38:20,Direct Traffic,-,No,0,True,3,1,3,1,0,0.3333333333333333
11798,2025-02-10 22:01:35,Search Ads,New Product Launch,Yes,1,True,3,2,2,0,0,0.3333333333333333
11798,2025-02-11 10:28:04,Email,Retargeting,Yes,1,True,3,3,1,0,1,0.3333333333333333
11801,2025-02-10 01:14:32,Search Ads,New Product Launch,Yes,1,True,4,1,4,1,0,0.25
11801,2025-02-11 07:54:07,Social Media,Winter Sale,Yes,1,True,4,2,3,0,0,0.25
11801,2025-02-11 13:36:35,Search Ads,Brand Awareness,Yes,1,True,4,3,2,0,0,0.25
11801,2025-02-11 23:54:33,Direct Traffic,-,Yes,1,True,4,4,1,0,1,0.25
11831,2025-02-10 12:16:29,Search Ads,Winter Sale,No,0,True,6,1,6,1,0,0.16666666666666666
11831,2025-02-10 13:11:24,Social Media,Discount Offer,Yes,1,True,6,2,5,0,0,0.16666666666666666
11831,2025-02-10 21:45:42,Social Media,New Product Launch,No,0,True,6,3,4,0,0,0.16666666666666666
11831,2025-02-11 19:53:56,Email,-,Yes,1,True,6,4,3,0,0,0.16666666666666666
11831,2025-02-11 21:55:23,Direct Traffic,-,Yes,1,True,6,5,2,0,0,0.16666666666666666
11831,2025-02-11 23:47:41,Referral,Brand Awareness,Yes,1,True,6,6,1,0,1,0.16666666666666666
11835,2025-02-10 00:51:05,Referral,Brand Awareness,Yes,1,True,2,1,2,1,0,0.5
11835,2025-02-11 23:11:26,Social Media,Discount Offer,No,0,True,2,2,1,0,1,0.5
11894,2025-02-10 00:40:55,Direct Traffic,-,No,0,True,3,1,3,1,0,0.3333333333333333
11894,2025-02-10 03:13:42,Display Ads,Discount Offer,Yes,1,True,3,2,2,0,0,0.3333333333333333
11894,2025-02-10 15:47:18,Referral,Brand Awareness,No,0,True,3,3,1,0,1,0.3333333333333333
11914,2025-02-10 03:18:05,Display Ads,Brand Awareness,No,0,True,4,1,4,1,0,0.25
11914,2025-02-10 10:33:23,Search Ads,Brand Awareness,Yes,1,True,4,2,3,0,0,0.25
11914,2025-02-10 20:30:54,Email,Discount Offer,Yes,1,True,4,3,2,0,0,0.25
11914,2025-02-11 08:53:43,Email,Winter Sale,No,0,True,4,4,1,0,1,0.25
11917,2025-02-10 07:20:05,Social Media,Retargeting,Yes,1,True,6,1,6,1,0,0.16666666666666666
11917,2025-02-10 08:04:42,Search Ads,Retargeting,Yes,1,True,6,2,5,0,0,0.16666666666666666
11917,2025-02-10 09:03:40,Direct Traffic,-,Yes,1,True,6,3,4,0,0,0.16666666666666666
11917,2025-02-10 11:16:28,Direct Traffic,-,Yes,1,True,6,4,3,0,0,0.16666666666666666
11917,2025-02-10 21:15:00,Email,Winter Sale,No,0,True,6,5,2,0,0,0.16666666666666666
11917,2025-02-11 06:50:31,Display Ads,New Product Launch,No,0,True,6,6,1,0,1,0.16666666666666666
12077,2025-02-10 21:38:09,Email,Discount Offer,No,0,False,2,1,2,1,0,0.5
12077,2025-02-11 21:10:11,Social Media,-,No,0,False,2,2,1,0,1,0.5
12121,2025-02-10 07:13:37,Search Ads,Retargeting,Yes,1,True,5,1,5,1,0,0.2
12121,2025-02-10 21:05:23,Social Media,-,Yes,1,True,5,2,4,0,0,0.2
12121,2025-02-10 22:14:41,Search Ads,Winter Sale,Yes,1,True,5,3,3,0,0,0.2
12121,2025-02-11 01:41:35,Search Ads,Winter Sale,Yes,1,True,5,4,2,0,0,0.2
12121,2025-02-11 12:17:12,Email,Winter Sale,Yes,1,True,5,5,1,0,1,0.2
12217,2025-02-10 04:04:00,Email,New Product Launch,Yes,1,True,4,1,4,1,0,0.25
12217,2025-02-10 09:29:16,Social Media,New Product Launch,Yes,1,True,4,2,3,0,0,0.25
12217,2025-02-11 08:37:35,Referral,Retargeting,Yes,1,True,4,3,2,0,0,0.25
12217,2025-02-11 16:45:46,Display Ads,-,Yes,1,True,4,4,1,0,1,0.25
12225,2025-02-10 19:20:59,Email,Brand Awareness,Yes,1,True,1,1,1,1,1,1.0
12248,2025-02-11 09:17:41,Referral,New Product Launch,No,0,False,1,1,1,1,1,1.0
12269,2025-02-10 18:19:23,Display Ads,Discount Offer,No,0,False,3,1,3,1,0,0.3333333333333333
12269,2025-02-10 22:44:27,Social Media,Discount Offer,No,0,False,3,2,2,0,0,0.3333333333333333
12269,2025-02-11 21:01:18,Social Media,Winter Sale,No,0,False,3,3,1,0,1,0.3333333333333333
12275,2025-02-10 01:14:16,Email,Discount Offer,Yes,1,True,8,1,8,1,0,0.125
12275,2025-02-10 02:33:51,Direct Traffic,-,No,0,True,8,2,7,0,0,0.125
12275,2025-02-10 04:43:05,Search Ads,Retargeting,Yes,1,True,8,3,6,0,0,0.125
12275,2025-02-10 08:39:31,Direct Traffic,-,No,0,True,8,4,5,0,0,0.125
