User ID,Timestamp,Channel,Campaign,Conversion
83281,2/10/2025 7:58,Email,New Product Launch,No
68071,2/10/2025 23:38,Search Ads,Winter Sale,No
90131,2/11/2025 10:41,Social Media,Brand Awareness,Yes
71026,2/10/2025 8:19,Direct Traffic,-,Yes
94486,2/10/2025 15:15,Email,Retargeting,Yes
31134,2/11/2025 6:43,Search Ads,-,Yes
99995,2/10/2025 6:15,Search Ads,-,Yes
45832,2/11/2025 1:09,Referral,Winter Sale,Yes
79863,2/10/2025 6:48,Display Ads,Discount Offer,Yes
35324,2/10/2025 21:36,Direct Traffic,-,No
50905,2/11/2025 22:04,Social Media,Brand Awareness,No
82798,2/10/2025 8:57,Display Ads,New Product Launch,Yes
53313,2/10/2025 14:45,Social Media,Brand Awareness,Yes
59109,2/10/2025 14:18,Display Ads,Brand Awareness,No
72045,2/11/2025 18:39,Referral,Retargeting,No
91019,2/10/2025 4:28,Email,Winter Sale,No
78241,2/11/2025 11:24,Display Ads,Brand Awareness,Yes
71565,2/11/2025 17:24,Email,Retargeting,Yes
60684,2/10/2025 1:31,Email,-,Yes
28998,2/11/2025 11:15,Direct Traffic,-,Yes
39795,2/11/2025 22:31,Display Ads,New Product Launch,No
83286,2/11/2025 16:16,Social Media,Discount Offer,No
62862,2/11/2025 2:10,Referral,Discount Offer,Yes
20507,2/11/2025 12:49,Email,Discount Offer,Yes
28295,2/11/2025 14:52,Social Media,New Product Launch,No
96523,2/10/2025 20:39,Social Media,Brand Awareness,Yes
30910,2/11/2025 2:03,Referral,Discount Offer,Yes
78262,2/11/2025 17:34,Referral,Brand Awareness,No
37903,2/10/2025 18:20,Search Ads,Retargeting,Yes
22684,2/11/2025 17:40,Direct Traffic,-,No
14396,2/10/2025 0:29,Social Media,Discount Offer,Yes
31679,2/11/2025 16:14,Email,Brand Awareness,No
73216,2/10/2025 16:07,Email,-,Yes
34551,2/10/2025 15:55,Referral,Discount Offer,No
20513,2/11/2025 7:12,Search Ads,-,Yes
78925,2/10/2025 2:27,Social Media,Retargeting,No
30845,2/11/2025 15:43,Email,Retargeting,Yes
27437,2/11/2025 10:47,Direct Traffic,-,No
17566,2/10/2025 14:33,Search Ads,Brand Awareness,No
61019,2/10/2025 20:23,Referral,Brand Awareness,No
96237,2/10/2025 18:57,Email,Winter Sale,No
93014,2/11/2025 15:51,Search Ads,-,No
81371,2/10/2025 4:28,Search Ads,Brand Awareness,No
76909,2/11/2025 2:40,Display Ads,Retargeting,Yes
29914,2/11/2025 2:00,Display Ads,Retargeting,Yes
33255,2/11/2025 8:10,Email,-,No
32685,2/10/2025 22:59,Referral,Winter Sale,No
28171,2/11/2025 10:26,Email,-,Yes
32391,2/10/2025 17:20,Email,Brand Awareness,No
82495,2/10/2025 1:32,Direct Traffic,-,Yes
55755,2/11/2025 16:42,Display Ads,Brand Awareness,Yes
94548,2/11/2025 3:33,Direct Traffic,-,No
89180,2/10/2025 1:11,Direct Traffic,-,No
72532,2/10/2025 14:00,Search Ads,-,Yes
53707,2/10/2025 4:51,Referral,Retargeting,Yes
57726,2/11/2025 20:24,Direct Traffic,-,Yes
90253,2/10/2025 3:11,Direct Traffic,-,Yes
57564,2/10/2025 5:37,Direct Traffic,-,No
29113,2/10/2025 4:09,Direct Traffic,-,Yes
94722,2/10/2025 14:02,Referral,-,No
62079,2/10/2025 10:24,Email,Winter Sale,No
63416,2/10/2025 10:38,Display Ads,Discount Offer,No
89732,2/10/2025 9:27,Referral,Discount Offer,No
15395,2/11/2025 7:00,Referral,Brand Awareness,Yes
33578,2/11/2025 6:49,Referral,Retargeting,Yes
57627,2/11/2025 23:05,Display Ads,-,Yes
92974,2/11/2025 4:58,Social Media,Discount Offer,Yes
23599,2/11/2025 5:59,Direct Traffic,-,No
17614,2/10/2025 19:07,Search Ads,Retargeting,No
15491,2/10/2025 16:33,Social Media,Retargeting,No
69460,2/10/2025 16:55,Search Ads,Winter Sale,No
35837,2/11/2025 4:46,Social Media,-,No
64703,2/10/2025 0:09,Referral,Retargeting,Yes
74876,2/10/2025 14:42,Search Ads,Discount Offer,No
14398,2/11/2025 15:36,Referral,Discount Offer,Yes
73721,2/11/2025 12:51,Search Ads,Winter Sale,No
89340,2/10/2025 23:25,Direct Traffic,-,No
94174,2/10/2025 21:36,Display Ads,Brand Awareness,Yes
72741,2/11/2025 13:15,Display Ads,-,No
17708,2/10/2025 14:13,Direct Traffic,-,No
67722,2/10/2025 19:28,Display Ads,Brand Awareness,No
90253,2/11/2025 12:06,Direct Traffic,-,Yes
16311,2/11/2025 22:17,Social Media,-,Yes
32391,2/11/2025 11:41,Search Ads,-,No
73105,2/11/2025 11:11,Display Ads,-,Yes
79941,2/11/2025 15:18,Email,Brand Awareness,No
96015,2/10/2025 7:40,Search Ads,Brand Awareness,No
54874,2/10/2025 20:07,Search Ads,Retargeting,No
37162,2/11/2025 23:24,Direct Traffic,-,No
58969,2/10/2025 20:31,Display Ads,Brand Awareness,No
67211,2/11/2025 5:41,Search Ads,New Product Launch,No
81847,2/11/2025 1:51,Social Media,Brand Awareness,Yes
90088,2/10/2025 3:51,Social Media,New Product Launch,No
95590,2/11/2025 15:21,Referral,Discount Offer,Yes
21995,2/11/2025 5:24,Direct Traffic,-,No
30155,2/10/2025 21:55,Social Media,-,No
